source_station_id,station_name,lat,lon,rail_line_name,target_station_id,distance (km),time (mins),Unnamed: 8
BC1,Batu Caves Station,3.2377195,101.6812321,KTM Komuter - Batu Caves Line,BC2,2.2,3,
BC2,Taman Wahyu Station,3.2144774,101.6721846,KTM Komuter - Batu Caves Line,BC3,3,4,
BC3,Kampung Batu Station,3.20482,101.6756,KTM Komuter - Batu Caves Line,BC4,1.8,2,
BC4,Batu Kentonmen Station,3.19825,101.68116,KTM Komuter - Batu Caves Line,BC5,2.5,3,
BC5,Sentul Station,3.1785607,101.6954938,KTM Komuter - Batu Caves Line,BC6,3,4,
BC6,Putra Station,3.16532,101.69109,KTM Komuter - Batu Caves Line,BC7,2.2,3,
BC7,Bank Negara Station,3.1548053,101.6931397,KTM Komuter - Batu Caves Line,BC8,1.8,2,
BC8,Kuala Lumpur Station,3.1396129,101.693375,KTM Komuter - Batu Caves Line,BC9,3,4,
BC9,KL Sentral Station,3.13417,101.68611,KTM Komuter - Batu Caves Line,-,-,-,
TM1,Tanjung Malim Station,3.684902,101.518422,KTM Komuter - Tanjung Malim Line,TM2,8,10,
TM2,Kuala Kubu Bharu Station,3.560932,101.658546,KTM Komuter - Tanjung Malim Line,TM3,6,8,
TM3,Rasa Station,3.500308,101.634167,KTM Komuter - Tanjung Malim Line,TM4,7,10,
TM4,Batang Kali Station,3.4601368,101.6550138,KTM Komuter - Tanjung Malim Line,TM5,4.5,7,
TM5,Serendah Station,3.363928,101.6028641,KTM Komuter - Tanjung Malim Line,TM6,6.5,9,
TM6,Rawang Station,3.320482,101.5759238,KTM Komuter - Tanjung Malim Line,TM7,7.2,10,
TM7,Kuang Station,3.258249,101.554726,KTM Komuter - Tanjung Malim Line,TM8,6,9,
TM8,Sungai Buloh Station,3.2060695,101.5808489,KTM Komuter - Tanjung Malim Line,TM9,7,8,
TM9,Kepong Sentral Station,3.2086304,101.6284401,KTM Komuter - Tanjung Malim Line,TM10,6,8,
TM10,Segambut Station,3.191726000000001,101.6733869,KTM Komuter - Tanjung Malim Line,TM11,5,6,
TM11,Putra Station,3.16532,101.69109,KTM Komuter - Tanjung Malim Line,TM12,2,3,
TM12,Bank Negara Station,3.1548053,101.6931397,KTM Komuter - Tanjung Malim Line,TM13,2,3,
TM13,Kuala Lumpur Station,3.1396129,101.693375,KTM Komuter - Tanjung Malim Line,TM14,2,3,
TM14,KL Sentral Station,3.13417,101.68611,KTM Komuter - Tanjung Malim Line,TM15,2.5,4,
TM15,Abdullah Hukum Station,3.1186831,101.672874,KTM Komuter - Tanjung Malim Line,TM16,2.2,3,
TM16,Angkasapuri Station,3.11306,101.67333,KTM Komuter - Tanjung Malim Line,TM17,3,4,
TM17,Pantai Dalam Station,3.111359,101.6622439,KTM Komuter - Tanjung Malim Line,TM18,3,4,
TM18,Petaling Station,3.0861237,101.6642674,KTM Komuter - Tanjung Malim Line,TM19,2.8,4,
TM19,Jalan Templer Station,3.0833,101.65655,KTM Komuter - Tanjung Malim Line,TM20,3.6,5,
TM20,Kampung Dato Harun Station,3.0844767,101.6322897,KTM Komuter - Tanjung Malim Line,TM21,4.1,6,
TM21,Seri Setia Station,3.0844604,101.6218843,KTM Komuter - Tanjung Malim Line,TM22,5.2,7,
TM22,Setia Jaya Station,3.0831821,101.6114147,KTM Komuter - Tanjung Malim Line,TM23,3,4,
TM23,Subang Jaya Station,3.084627,101.587566,KTM Komuter - Tanjung Malim Line,TM24,6,8,
TM24,Batu Tiga Station,3.075805,101.5597774,KTM Komuter - Tanjung Malim Line,TM25,5.5,7,
TM25,Shah Alam Station,3.073281,101.518461,KTM Komuter - Tanjung Malim Line,TM26,6,8,
TM26,Padang Jawa Station,3.0524619,101.4927253,KTM Komuter - Tanjung Malim Line,TM27,4.5,6,
TM27,Bukit Badak Station,3.0361932,101.4702415,KTM Komuter - Tanjung Malim Line,TM28,5,7,
TM28,Klang Station,3.044917,101.4455621,KTM Komuter - Tanjung Malim Line,TM29,4,6,
TM29,Teluk Pulai Station,3.0408784,101.4321502,KTM Komuter - Tanjung Malim Line,TM30,2.5,4,
TM30,Teluk Gadong Station,3.0339078,101.424934,KTM Komuter - Tanjung Malim Line,TM31,2.5,4,
TM31,Pelabuhan Klang Station,2.999852,101.39283,KTM Komuter - Tanjung Malim Line,-,-,-,
AG1,Sentul Timur Station,3.1859317,101.6953527,LRT Ampang Line,AG2,1.5,2,
AG2,Sentul Station,3.1785607,101.6954938,LRT Ampang Line,AG3,1.6,2,
AG3,Titiwangsa Station,3.1735082,101.6953433,LRT Ampang Line,AG4,2,3,
AG4,PWTC Station,3.1665923,101.6936275,LRT Ampang Line,AG5,1.7,2,
AG5,Sultan Ismail Station,3.16124,101.69411,LRT Ampang Line,AG6,1.8,3,
AG6,Bandaraya Station,3.1555582,101.6944651,LRT Ampang Line,AG7,1.5,2,
AG7,Masjid Jamek Station,3.14975,101.69682,LRT Ampang Line,AG8,1.5,2,
AG8,Plaza Rakyat Station,3.14405,101.7021,LRT Ampang Line,AG9,1.3,2,
AG9,Hang Tuah Station,3.14072,101.70608,LRT Ampang Line,AG10,1.4,2,
AG10,Pudu Station,3.13488,101.71196,LRT Ampang Line,AG11,1.5,2,
AG11,Chan Sow Lin Station,3.1278462,101.7155894,LRT Ampang Line,AG12,2.2,3,
AG12,Miharja Station,3.1209905,101.7178829,LRT Ampang Line,AG13,1.5,2,
AG13,Maluri Station,3.1233637,101.7271433,LRT Ampang Line,AG14,1.8,2,
AG14,Pandan Jaya Station,3.13536,101.74014,LRT Ampang Line,AG15,1.7,2,
AG15,Pandan Indah Station,3.133892,101.7516751,LRT Ampang Line,AG16,1.5,2,
AG16,Cempaka Station,3.1353,101.7534,LRT Ampang Line,AG17,1.8,3,
AG17,Cahaya Station,3.1405898,101.7566128,LRT Ampang Line,AG18,1.5,2,
AG18,Ampang Station,3.1503,101.7603451,LRT Ampang Line,-,-,-,
SP1,Sentul Timur Station,3.1859317,101.6953527,LRT Sri Petaling Line,SP2,1.5,2,
SP2,Sentul Station,3.1785607,101.6954938,LRT Sri Petaling Line,SP3,1.6,2,
SP3,Titiwangsa Station,3.1735082,101.6953433,LRT Sri Petaling Line,SP4,2,3,
SP4,PWTC Station,3.1665923,101.6936275,LRT Sri Petaling Line,SP5,1.7,2,
SP5,Sultan Ismail Station,3.16124,101.69411,LRT Sri Petaling Line,SP6,1.8,3,
SP6,Bandaraya Station,3.1555582,101.6944651,LRT Sri Petaling Line,SP7,1.5,2,
SP7,Masjid Jamek Station,3.14975,101.69682,LRT Sri Petaling Line,SP8,1.5,2,
SP8,Plaza Rakyat Station,3.14405,101.7021,LRT Sri Petaling Line,SP9,1.3,2,
SP9,BBCC–Hang Tuah Station,3.14072,101.70608,LRT Sri Petaling Line,SP10,1.4,2,
SP10,Pudu Station,3.13488,101.71196,LRT Sri Petaling Line,SP11,1.6,2,
SP11,Chan Sow Lin Station,3.1278462,101.7155894,LRT Sri Petaling Line,SP12,1.7,2,
SP12,Cheras Station,3.1125996,101.7142131,LRT Sri Petaling Line,SP13,1.5,2,
SP13,Salak Selatan Station,3.1049256,101.7055173,LRT Sri Petaling Line,SP14,1.8,2,
SP14,Bandar Tun Razak Station,3.091953,101.7210971,LRT Sri Petaling Line,SP15,1.7,2,
SP15,Bandar Tasik Selatan Station,3.07611,101.71083,LRT Sri Petaling Line,SP16,1.8,2,
SP16,Sungai Besi Station,3.0639386,101.7080071,LRT Sri Petaling Line,SP17,1.7,2,
SP17,Bukit Jalil Station,3.0586745,101.6917068,LRT Sri Petaling Line,SP18,1.5,2,
SP18,Sri Petaling Station,3.068411,101.6856335,LRT Sri Petaling Line,SP19,2,3,
SP19,Awan Besar Station,3.0621113,101.6706325,LRT Sri Petaling Line,SP20,2,3,
SP20,Muhibbah Station,3.0619788,101.6624709,LRT Sri Petaling Line,SP21,2,3,
SP21,Alam Sutera Station,3.0546753,101.6565324,LRT Sri Petaling Line,SP22,2,3,
SP22,Kinrara BK5 Station,3.0504458,101.6442793,LRT Sri Petaling Line,SP23,2,3,
SP23,Kinrara BK3 Station,3.050629,101.649001,LRT Sri Petaling Line,SP24,2.5,4,
SP24,IOI Puchong Jaya Station,3.0480756,101.6209657,LRT Sri Petaling Line,SP25,2.8,4,
SP25,Pusat Bandar Puchong Station,3.034935,101.6160451,LRT Sri Petaling Line,SP26,2.5,4,
SP26,Taman Perindustrian Puchong Station,3.026368,101.6117341,LRT Sri Petaling Line,SP27,2.2,3,
SP27,Bandar Puteri Station,3.0170271,101.6128574,LRT Sri Petaling Line,SP28,3,4,
SP28,Puchong Perdana Station,2.936961,101.603485,LRT Sri Petaling Line,SP29,3,4,
SP29,Puchong Prima Station,3.0327152,101.618802,LRT Sri Petaling Line,SP30,3,5,
SP30,Kampung Sri Aman Station,2.980526,101.5868509,LRT Sri Petaling Line,SP31,2.8,4,
SP31,Putra Heights Station,3.005805,101.5777559,LRT Sri Petaling Line,-,-,-,
